name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Swablu,40,5120,255.0,60,600000,45,40,75,normal,flying,50,False
Budew,30,5120,255.0,35,1059860,40,50,70,grass,poison,55,False
Minun,40,5120,200.0,50,1000000,60,75,85,electric,,95,False
Metapod,20,3840,120.0,55,1000000,50,25,25,bug,,30,False
Chikorita,49,5120,45.0,65,1059860,45,49,65,grass,,45,False
Pinsir,155,6400,45.0,120,1250000,65,65,90,bug,,105,False
Cinccino,95,3840,60.0,60,800000,75,65,60,normal,,115,False
Elgyem,55,5120,255.0,55,1000000,55,85,55,psychic,,30,False
Foongus,55,5120,190.0,45,1000000,69,55,55,grass,poison,15,False
Ariados,90,3840,90.0,70,800000,70,60,70,bug,poison,40,False
Aipom,70,5120,45.0,55,800000,55,40,55,normal,,85,False
Accelgor,70,3840,75.0,40,1000000,80,100,60,bug,,145,False
Dialga,120,30720,3.0,120,1250000,100,150,100,steel,dragon,90,True
Starly,55,3840,255.0,30,1059860,40,30,30,normal,flying,60,False
Ledyba,20,3840,255.0,30,800000,40,40,80,bug,flying,55,False
Politoed,75,5120,45.0,75,1059860,90,90,100,water,,70,False
Dodrio,110,5120,45.0,70,1000000,60,60,60,normal,flying,110,False
Aggron,140,8960,45.0,230,1250000,70,60,80,steel,rock,50,False
Mankey,80,5120,190.0,35,1000000,40,35,45,fighting,,70,False
Hitmonlee,120,6400,45.0,53,1000000,50,35,110,fighting,,87,False
Oshawott,55,5120,45.0,45,1059860,55,63,45,water,,45,False
Cyndaquil,52,5120,45.0,43,1059860,39,60,50,fire,,65,False
Goldeen,67,5120,225.0,60,1000000,45,35,50,water,,63,False
Swinub,50,5120,225.0,40,1250000,50,30,30,ice,ground,50,False
Nihilego,53,30720,45.0,47,1250000,109,127,131,rock,poison,103,True
Mudkip,70,5120,45.0,50,1059860,50,50,50,water,,40,False
Sewaddle,53,3840,255.0,70,1059860,45,40,60,bug,grass,42,False
Weezing,90,5120,60.0,120,1000000,65,85,70,poison,,60,False
Grumpig,45,5120,60.0,65,800000,80,90,110,psychic,,80,False
Lopunny,136,5120,60.0,94,1000000,65,54,96,normal,,135,False
Togepi,20,2560,190.0,65,800000,35,40,65,fairy,,20,False
Teddiursa,80,5120,120.0,50,1000000,60,50,50,normal,,40,False
Lampent,40,5120,90.0,60,1059860,60,95,60,ghost,fire,55,False
Palkia,120,30720,3.0,100,1250000,90,150,120,water,dragon,100,True
Shroomish,40,3840,255.0,60,1640000,60,40,60,grass,,35,False
Porygon-Z,80,5120,30.0,70,1000000,85,135,75,normal,,90,False
Flygon,100,5120,45.0,80,1059860,80,80,80,ground,dragon,100,False
Tynamo,55,5120,190.0,40,1250000,35,45,40,electric,,60,False
Machop,80,5120,180.0,50,1059860,70,35,35,fighting,,35,False
Zekrom,150,30720,3.0,120,1250000,100,120,100,dragon,electric,90,True
Wigglytuff,70,2560,50.0,45,800000,140,85,50,normal,fairy,45,False
Heracross,185,6400,45.0,115,1250000,80,40,105,bug,fighting,75,False
Archeops,140,7680,45.0,65,1000000,75,112,65,rock,flying,110,False
Gyarados,155,1280,45.0,109,1250000,95,70,130,water,flying,81,False
Gliscor,95,5120,30.0,125,1059860,75,45,75,ground,flying,95,False
Tranquill,77,3840,120.0,62,1059860,62,50,42,normal,flying,65,False
Gardevoir,85,5120,45.0,65,1250000,68,165,135,psychic,fairy,100,False
Azelf,125,20480,3.0,70,1250000,75,125,70,psychic,,115,True
Regice,50,20480,3.0,100,1250000,80,100,200,ice,,50,True
Roselia,60,5120,150.0,45,1059860,50,100,80,grass,poison,65,False
Chimecho,50,6400,45.0,80,800000,75,95,90,psychic,,65,False
Bounsweet,30,5120,235.0,38,1059860,42,30,38,grass,,32,False
Pikachu,55,2560,190.0,40,1000000,35,50,50,electric,,90,False
Articuno,85,20480,3.0,100,1250000,90,95,125,ice,flying,85,True
Machoke,100,5120,90.0,70,1059860,80,50,60,fighting,,45,False
Gumshoos,110,3840,127.0,60,1000000,88,55,60,normal,,45,False
Pikipek,75,3840,255.0,30,1000000,35,30,30,normal,flying,65,False
Cloyster,95,5120,60.0,180,1250000,50,85,45,water,ice,70,False
Crawdaunt,120,3840,155.0,85,1640000,63,90,55,water,dark,55,False
Whismur,51,5120,190.0,23,1059860,64,51,23,normal,,28,False
Silcoon,35,3840,120.0,55,1000000,50,25,25,bug,,15,False
Chandelure,55,5120,45.0,90,1059860,60,145,90,ghost,fire,80,False
Jumpluff,55,5120,45.0,70,1059860,75,55,95,grass,flying,110,False
Amoonguss,85,5120,75.0,70,1000000,114,85,80,grass,poison,30,False
Victreebel,105,5120,45.0,65,1059860,80,100,70,grass,poison,70,False
Metagross,145,10240,3.0,150,1250000,80,105,110,steel,psychic,110,False
Braixen,59,5120,45.0,58,1059860,59,90,70,fire,,73,False
Tapu Bulu,130,3840,3.0,115,1250000,70,85,95,grass,fairy,75,True
Magikarp,10,1280,255.0,55,1250000,20,15,20,water,,80,False
Simisear,98,5120,75.0,63,1000000,75,98,63,fire,,101,False
Charjabug,82,3840,120.0,95,1000000,57,55,75,bug,electric,36,False
Ducklett,44,5120,190.0,50,1000000,62,44,50,water,flying,55,False
Eelektrik,85,5120,60.0,70,1250000,65,75,70,electric,,40,False
Gallade,165,5120,45.0,95,1250000,68,65,115,psychic,fighting,110,False
Fletchling,50,3840,255.0,43,1059860,45,40,38,normal,flying,62,False
Murkrow,85,5120,30.0,42,1059860,60,85,42,dark,flying,91,False
Noctowl,50,3840,90.0,50,1000000,100,86,96,normal,flying,70,False
Anorith,95,7680,45.0,50,600000,45,40,50,rock,bug,75,False
Forretress,90,5120,75.0,140,1000000,75,60,60,bug,steel,40,False
Nidorino,72,5120,120.0,57,1059860,61,55,55,poison,,65,False
Ferroseed,50,5120,255.0,91,1000000,44,24,86,grass,steel,10,False
Chingling,30,6400,120.0,50,800000,45,65,50,psychic,,45,False
Duskull,40,6400,190.0,90,800000,20,30,90,ghost,,25,False
Mimikyu,90,5120,45.0,80,1000000,55,50,105,ghost,fairy,96,False
Fearow,90,3840,90.0,65,1000000,65,61,61,normal,flying,100,False
Reshiram,120,30720,3.0,100,1250000,100,150,120,dragon,fire,90,True
Magnemite,35,5120,190.0,70,1000000,25,95,55,electric,steel,45,False
Huntail,104,5120,60.0,105,600000,55,94,75,water,,52,False
Ambipom,100,5120,45.0,66,800000,75,60,66,normal,,115,False
Snivy,45,5120,45.0,55,1059860,45,45,55,grass,,63,False
Spinda,60,3840,255.0,60,800000,60,60,60,normal,,60,False
Croagunk,61,2560,140.0,40,1000000,48,61,40,poison,fighting,50,False
Mesprit,105,20480,3.0,105,1250000,80,105,105,psychic,,80,True
Poliwag,50,5120,255.0,40,1059860,40,40,40,water,,90,False
Oricorio,70,5120,45.0,70,1000000,75,98,70,fire,flying,93,False
Golurk,124,6400,90.0,80,1000000,89,55,80,ground,ghost,55,False
Armaldo,125,7680,45.0,100,600000,75,70,80,rock,bug,45,False
Electabuzz,83,6400,45.0,57,1000000,65,95,85,electric,,105,False
Ursaring,130,5120,60.0,75,1000000,90,75,75,normal,,55,False
Bewear,125,3840,70.0,80,1000000,120,55,60,normal,fighting,60,False
Charizard,104,5120,45.0,78,1059860,78,159,115,fire,flying,100,False
Vanillite,50,5120,255.0,50,1250000,36,65,60,ice,,44,False
Floette,65,5120,120.0,67,1000000,74,125,128,fairy,,92,False
Happiny,5,10240,130.0,5,800000,100,15,65,normal,,30,False
Deino,65,10240,45.0,50,1250000,52,45,50,dark,dragon,38,False
Hoothoot,30,3840,255.0,30,1000000,60,36,56,normal,flying,50,False
Volcarona,60,10240,15.0,65,1250000,85,135,105,bug,fire,100,False
Sylveon,65,8960,45.0,65,1000000,95,110,130,fairy,,60,False
Finneon,49,5120,190.0,56,600000,49,49,61,water,,66,False
Rufflet,83,5120,190.0,50,1250000,70,37,50,normal,flying,60,False
Karrablast,75,3840,200.0,45,1000000,50,40,45,bug,,60,False
Lotad,30,3840,255.0,30,1059860,40,40,50,water,grass,30,False
Lapras,85,10240,45.0,80,1250000,130,85,95,water,ice,60,False
Poliwhirl,65,5120,120.0,65,1059860,65,50,50,water,,90,False
Sawsbuck,100,5120,75.0,70,1000000,80,60,70,normal,grass,95,False
Piloswine,100,5120,75.0,80,1250000,100,60,60,ice,ground,50,False
Litten,65,3840,45.0,40,1059860,45,60,40,fire,,70,False
Clauncher,53,3840,225.0,62,1250000,50,58,63,water,,44,False
Zoroark,105,5120,45.0,60,1059860,60,120,60,dark,,105,False
Garbodor,95,5120,60.0,82,1000000,80,60,82,poison,,75,False
Deerling,60,5120,190.0,50,1000000,60,40,50,normal,grass,75,False
Illumise,47,3840,150.0,75,1640000,65,73,85,bug,,85,False
Unfezant,115,3840,45.0,80,1059860,80,65,55,normal,flying,93,False
Manaphy,100,2560,3.0,100,1250000,100,100,100,water,,100,True
Glaceon,60,8960,45.0,110,1000000,65,130,95,ice,,65,False
Vikavolt,70,3840,45.0,90,1000000,77,145,75,bug,electric,43,False
Xatu,75,5120,75.0,70,1000000,65,95,70,psychic,flying,95,False
Galvantula,77,5120,75.0,60,1000000,70,97,60,bug,electric,108,False
Fraxure,117,10240,60.0,70,1250000,66,40,50,dragon,,67,False
Exeggcute,40,5120,90.0,80,1250000,60,60,45,grass,psychic,40,False
Baltoy,40,5120,255.0,55,1000000,40,40,70,ground,psychic,55,False
Zebstrika,100,5120,75.0,63,1000000,75,80,63,electric,,116,False
Loudred,71,5120,120.0,43,1059860,84,71,43,normal,,48,False
Cofagrigus,50,6400,90.0,145,1000000,58,95,105,ghost,,30,False
Cubone,50,5120,190.0,95,1000000,50,40,50,ground,,35,False
Virizion,90,20480,3.0,72,1250000,91,90,129,grass,fighting,108,True
Groudon,180,30720,3.0,160,1250000,100,150,90,ground,,90,True
Sunkern,30,5120,235.0,30,1059860,30,30,30,grass,,30,False
Lurantis,105,5120,75.0,90,1000000,70,80,90,grass,,45,False
Quilladin,78,5120,45.0,95,1059860,61,56,58,grass,,57,False
Lunala,113,30720,45.0,89,1250000,137,137,107,psychic,ghost,97,True
Infernape,104,5120,45.0,71,1059860,76,104,71,fire,fighting,108,False
Exploud,91,5120,45.0,63,1059860,104,91,73,normal,,68,False
Zubat,45,3840,255.0,35,1000000,40,30,40,poison,flying,55,False
Tapu Lele,85,3840,3.0,75,1250000,70,130,115,psychic,fairy,95,True
Hakamo-o,75,10240,45.0,90,1250000,55,65,70,dragon,fighting,65,False
Floatzel,105,5120,75.0,55,1000000,85,85,50,water,,115,False
Gurdurr,105,5120,90.0,85,1059860,85,40,50,fighting,,40,False
Kricketot,25,3840,255.0,41,1059860,37,25,41,bug,,25,False
Terrakion,129,20480,3.0,90,1250000,91,72,90,rock,fighting,108,True
Roggenrola,75,3840,255.0,85,1059860,55,25,25,rock,,15,False
Masquerain,60,3840,75.0,62,1000000,70,100,82,bug,flying,80,False
Crabominable,132,5120,60.0,77,1000000,97,62,67,fighting,ice,43,False
Dusknoir,100,6400,45.0,135,800000,45,65,135,ghost,,45,False
Gastrodon,83,5120,75.0,68,1000000,111,92,82,water,ground,39,False
Riolu,70,6400,75.0,40,1059860,40,35,40,fighting,,60,False
Kangaskhan,125,5120,45.0,100,1000000,105,60,100,normal,,100,False
Treecko,45,5120,45.0,35,1059860,40,65,55,grass,,70,False
Darumaka,90,5120,120.0,45,1059860,70,15,45,fire,,50,False
Wartortle,63,5120,45.0,80,1059860,59,65,80,water,,58,False
Azumarill,50,2560,75.0,80,800000,100,60,80,water,fairy,50,False
Swirlix,48,5120,200.0,66,1000000,62,59,57,fairy,,49,False
Shiinotic,45,5120,75.0,80,1000000,60,90,100,grass,fairy,30,False
Spoink,25,5120,255.0,35,800000,60,70,80,psychic,,60,False
Pyukumuku,60,3840,60.0,130,800000,55,30,130,water,,5,False
Rhydon,130,5120,60.0,120,1250000,105,45,45,ground,rock,40,False
Lileep,41,7680,45.0,77,600000,66,61,87,rock,grass,23,False
Steelix,125,6400,25.0,230,1000000,75,55,95,steel,ground,30,False
Palossand,75,3840,60.0,110,1000000,85,100,75,ghost,ground,35,False
Ralts,25,5120,235.0,25,1250000,28,45,35,psychic,fairy,40,False
Buzzwole,139,30720,25.0,139,1250000,107,53,53,bug,fighting,79,True
Wailmer,70,10240,125.0,35,1640000,130,70,35,water,,60,False
Jellicent,60,5120,60.0,70,1000000,100,85,105,water,ghost,60,False
Stunky,63,5120,225.0,47,1000000,63,41,41,poison,dark,74,False
Yungoos,70,3840,255.0,30,1000000,48,30,30,normal,,45,False
Morelull,35,5120,190.0,55,1000000,40,65,75,grass,fairy,15,False
Buizel,65,5120,190.0,35,1000000,55,60,30,water,,85,False
Hippowdon,112,7680,60.0,118,1250000,108,68,72,ground,,47,False
Nidoran♀,47,5120,235.0,52,1059860,55,40,40,poison,,41,False
Samurott,100,5120,45.0,85,1059860,95,108,70,water,,70,False
Omanyte,40,7680,45.0,100,1000000,35,90,55,rock,water,35,False
Blaziken,160,5120,45.0,80,1059860,80,130,80,fire,fighting,100,False
Golbat,80,3840,90.0,70,1000000,75,65,75,poison,flying,90,False
Dratini,64,10240,45.0,45,1250000,41,50,50,dragon,,50,False
Meganium,82,5120,45.0,100,1059860,80,83,100,grass,,80,False
Delphox,69,5120,45.0,72,1059860,75,114,100,fire,psychic,104,False
Corphish,80,3840,205.0,65,1640000,43,50,35,water,,35,False
Araquanid,70,3840,100.0,92,1000000,68,50,132,water,bug,42,False
Cleffa,25,2560,150.0,28,800000,50,45,55,fairy,,15,False
Xurkitree,89,30720,30.0,71,1250000,83,173,71,electric,,83,True
Doduo,85,5120,190.0,45,1000000,35,35,35,normal,flying,75,False
Basculin,92,10240,25.0,65,1000000,70,80,55,water,,98,False
Bidoof,45,3840,255.0,40,1000000,59,35,40,normal,,31,False
Krookodile,117,5120,45.0,80,1059860,95,65,70,ground,dark,92,False
Spinarak,60,3840,255.0,40,800000,40,40,40,bug,poison,30,False
Girafarig,80,5120,60.0,65,1000000,70,90,65,normal,psychic,85,False
Pangoro,124,6400,65.0,78,1000000,95,69,71,fighting,dark,58,False
Butterfree,45,3840,45.0,50,1000000,60,90,80,bug,flying,70,False
Altaria,110,5120,45.0,110,600000,75,110,105,dragon,flying,80,False
Electrode,50,5120,60.0,70,1000000,60,80,80,electric,,150,False
Phanpy,60,5120,120.0,60,1000000,90,40,40,ground,,40,False
Vileplume,80,5120,45.0,85,1059860,75,110,90,grass,poison,50,False
Kyurem,120,30720,3.0,90,1250000,125,170,100,dragon,ice,95,True
Beautifly,70,3840,45.0,50,1000000,60,100,50,bug,flying,65,False
Kommo-o,110,10240,45.0,125,1250000,75,100,105,dragon,fighting,85,False
Zorua,65,6400,75.0,40,1059860,40,80,40,dark,,65,False
Wormadam,69,3840,45.0,95,1000000,60,69,95,bug,grass,36,False
Boldore,105,3840,120.0,105,1059860,70,50,40,rock,,20,False
Meloetta,128,30720,3.0,90,1250000,100,77,77,normal,psychic,128,True
Sandile,72,5120,180.0,35,1059860,50,35,35,ground,dark,65,False
Farfetch'd,90,5120,45.0,55,1000000,52,58,62,normal,flying,60,False
Nosepass,45,5120,255.0,135,1000000,30,45,90,rock,,30,False
Shelgon,95,10240,45.0,100,1250000,65,60,50,dragon,,50,False
Yanmega,76,5120,30.0,86,1000000,86,116,56,bug,flying,95,False
Granbull,120,5120,75.0,75,800000,90,60,60,fairy,,45,False
Grovyle,65,5120,45.0,45,1059860,50,85,65,grass,,95,False
Swoobat,57,3840,45.0,55,1000000,67,77,55,psychic,flying,114,False
Grubbin,62,3840,255.0,45,1000000,47,55,45,bug,,46,False
Lairon,90,8960,90.0,140,1250000,60,50,50,steel,rock,40,False
Kecleon,90,5120,200.0,70,1059860,60,60,120,normal,,40,False
Psyduck,52,5120,190.0,48,1000000,50,65,50,water,,55,False
Gulpin,43,5120,225.0,53,1640000,70,43,53,poison,,40,False
Wobbuffet,33,5120,45.0,58,1000000,190,33,58,psychic,,33,False
Lickilicky,85,5120,30.0,95,1000000,110,80,95,normal,,50,False
Chespin,61,5120,45.0,65,1059860,56,48,45,grass,,38,False
Giratina,120,30720,3.0,100,1250000,150,120,100,ghost,dragon,90,True
Suicune,75,20480,3.0,115,1250000,100,90,115,water,,85,True
Inkay,54,5120,190.0,53,1000000,53,37,46,dark,psychic,45,False
Alakazam,50,5120,50.0,65,1059860,55,175,105,psychic,,150,False
Latias,100,30720,3.0,120,1250000,80,140,150,dragon,psychic,110,True
Popplio,54,3840,45.0,54,1059860,50,66,56,water,,40,False
Magby,75,6400,45.0,37,1000000,45,70,55,fire,,83,False
Aerodactyl,135,8960,45.0,85,1250000,80,70,95,rock,flying,150,False
Drifblim,80,7680,60.0,44,1640000,150,90,54,ghost,flying,80,False
Clawitzer,73,3840,55.0,88,1250000,71,120,89,water,,59,False
Slowbro,75,5120,75.0,180,1000000,95,130,80,water,psychic,30,False
Komala,115,5120,45.0,65,1250000,65,75,95,normal,,65,False
Feebas,15,5120,255.0,20,600000,20,10,55,water,,80,False
Vanilluxe,95,5120,45.0,85,1250000,71,110,95,ice,,79,False
Probopass,55,5120,60.0,145,1000000,60,75,150,rock,steel,40,False
Heliolisk,55,5120,75.0,52,1000000,62,109,94,electric,normal,109,False
Frillish,40,5120,190.0,50,1000000,55,65,85,water,ghost,40,False
Hitmontop,95,6400,45.0,95,1000000,50,35,110,fighting,,70,False
Goodra,100,10240,45.0,70,1250000,90,110,150,dragon,,80,False
Nidorina,62,5120,120.0,67,1059860,70,55,55,poison,,56,False
Umbreon,65,8960,45.0,110,1000000,95,60,130,dark,,65,False
Munna,25,2560,190.0,45,800000,76,67,55,psychic,,24,False
Froslass,80,5120,75.0,70,1000000,70,80,70,ice,ghost,110,False
Abra,20,5120,200.0,15,1059860,25,105,55,psychic,,90,False
Pineco,65,5120,190.0,90,1000000,50,35,35,bug,,15,False
Weepinbell,90,5120,120.0,50,1059860,65,85,45,grass,poison,55,False
Wooper,45,5120,255.0,45,1000000,55,25,25,water,ground,15,False
